現做咖啡飲品_key,現做咖啡飲品_no,罐裝_瓶裝咖啡_key,罐裝_瓶裝咖啡_no,沖泡式咖啡_key,沖泡式咖啡_no,濾掛式咖啡_key,濾掛式咖啡_no,現做茶飲品_key,現做茶飲品_no,茶飲_key,茶飲_no,碳酸_汽水_key,碳酸_汽水_no,果汁_果醋飲_key,果汁_果醋飲_no,運動飲料_key,運動飲料_no,養生飲品_key,養生飲品_no,能量飲料_key,能量飲料_no,沖泡類飲品_key,沖泡類飲品_no,礦泉水_key,礦泉水_no,氣泡水_key,氣泡水_no,鮮乳類_key,鮮乳類_no,保久乳_key,保久乳_no,調味乳_key,調味乳_no,優格_key,優格_no,優酪乳_key,優酪乳_no,發酵乳_key,發酵乳_no,豆漿_key,豆漿_no,其他植物奶_key,其他植物奶_no,現做霜淇淋_聖代_key,現做霜淇淋_聖代_no,冰淇淋_key,冰淇淋_no,甜筒_key,甜筒_no,水果冰品_key,水果冰品_no,蒸箱食品_key,蒸箱食品_no,地瓜_key,地瓜_no,熱狗_key,熱狗_no,關東煮_key,關東煮_no,米飯類_key,米飯類_no,麵食類_key,麵食類_no,三明治_key,三明治_no,漢堡_key,漢堡_no,生鮮蔬果_沙拉_key,生鮮蔬果_沙拉_no,湯品_key,湯品_no,水餃_點心_key,水餃_點心_no,麵包_key,麵包_no,蛋糕_key,蛋糕_no,中式糕點_key,中式糕點_no,其他甜食_key,其他甜食_no,加工蛋_key,加工蛋_no,生鮮蔬菜_key,生鮮蔬菜_no,生鮮肉品_key,生鮮肉品_no,生鮮海鮮_key,生鮮海鮮_no,冷藏調理_key,冷藏調理_no,冷凍蔬菜_key,冷凍蔬菜_no,冷凍肉品_key,冷凍肉品_no,冷凍海鮮_key,冷凍海鮮_no,冷凍微波料理_key,冷凍微波料理_no,餅乾_key,餅乾_no,堅果_key,堅果_no,肉乾_肉紙_key,肉乾_肉紙_no,豆乾_key,豆乾_no,魷魚絲_key,魷魚絲_no,海苔_key,海苔_no,布丁_果凍_key,布丁_果凍_no,果乾_key,果乾_no,即飲甜品_key,即飲甜品_no,糖果_key,糖果_no,巧克力_key,巧克力_no,其他零食_key,其他零食_no,料理調味_key,料理調味_no,果醬_抹醬_key,果醬_抹醬_no,有機食品_key,有機食品_no,罐頭_key,罐頭_no,各式麵條_拌麵_key,各式麵條_拌麵_no,泡麵_key,泡麵_no,米_key,米_no,米_key,米_no,民生紙品_key,民生紙品_no,洗衣用具_key,洗衣用具_no,家庭清潔用品_key,家庭清潔用品_no,家庭清潔洗劑_key,家庭清潔洗劑_no,衣物清潔_key,衣物清潔_no,嬰幼兒用品_key,嬰幼兒用品_no,餐廚用品_key,餐廚用品_no,汽機車用品類_key,汽機車用品類_no,女性衛生用品_key,女性衛生用品_no,髮部清潔_保養_key,髮部清潔_保養_no,身體清潔_保養_key,身體清潔_保養_no,口腔保健_key,口腔保健_no,美容保養_key,美容保養_no,貓食_key,貓食_no,狗食_key,狗食_no,其他寵物食品_key,其他寵物食品_no,寵物用品_key,寵物用品_no,運動健身_key,運動健身_no,戶外露營_key,戶外露營_no,大型家電_key,大型家電_no,廚房家電_key,廚房家電_no,生活家電_key,生活家電_no,美容家電_key,美容家電_no,視聽娛樂家電_key,視聽娛樂家電_no,書籍_key,書籍_no,數位內容_key,數位內容_no,文教用品_key,文教用品_no,手機_通訊_週邊_key,手機_通訊_週邊_no,電腦螢幕_硬碟_key,電腦螢幕_硬碟_no,相機_攝影_DV_key,相機_攝影_DV_no,品牌鞋款_key,品牌鞋款_no,流行鞋襪_key,流行鞋襪_no,男女內著_key,男女內著_no,童裝_key,童裝_no,女裝_key,女裝_no,男裝_key,男裝_no,個人服飾配件_key,個人服飾配件_no,運動機能服飾_key,運動機能服飾_no,精品／飾品_key,精品／飾品_no,黃金_key,黃金_no,家飾_key,家飾_no,寢具_key,寢具_no,傢俱_key,傢俱_no,床墊_key,床墊_no,菸品_key,菸品_no,威士忌_key,威士忌_no,調酒_key,調酒_no,啤酒_key,啤酒_no,紅白酒_key,紅白酒_no,禮盒_key,禮盒_no
美式,6483255.0,咖啡,5192510.0,咖啡,387780.0,咖啡,387780.0,件,1429850.0,茶,12916370.0,可樂,1920505.0,茶,1724575.0,飲料,14909430.0,食品,839930,康貝,63565.0,茶,913335.0,水,3188980.0,泡水,1093355.0,鮮乳,6015615.0,牛乳,1444740.0,牛乳,2211955.0,優格,292710.0,優酪,2790670.0,發酵,1487420.0,漿,2617750.0,義美,13720.0,霜淇淋,3094270.0,包,1330865.0,二配,1190505.0,V,260125.0,奇美,244670.0,地瓜,61800.0,熱狗,1460120.0,捲,826130.0,飯,6277820.0,麵,2861710.0,三明治,2344025.0,堡,1576935.0,沙拉,959815.0,麵,56800.0,套餐,14000.0,麵,3727075.0,5,6585790.0,花生,182960.0,波堤,7185990.0,大利,41975.0,玉米,3642945.0,折價券,2387575.0,蝦皮,3261160.0,雞,788025.0,低,4127610.0,火鍋片,647060.0,蝦幣,1116600.0,火鍋,1111070.0,洋芋片,3322325.0,花生,588990.0,豬肉,350295.0,豆,250370.0,鱈魚,554530.0,海苔,705940.0,蜜,34445.0,無籽,334395.0,金星,421430.0,軟糖,1150320.0,巧克力,5259080.0,5,1319760.0,醬,1393820.0,蜂蜜,1280420.0,有機,568980.0,玉米,1594645,麵,4713440.0,麵,2651515.0,飯,6277820.0,米,682465.0,衛生紙,2448530.0,洗衣,572615.0,5,794035.0,無,1636340.0,洗衣,637885.0,5,333715.0,環保杯,1790735.0,汽油,14093100.0,棉,4214.0,髮,8636.0,抗菌,1835.0,雞,4888.0,面膜,1840.0,鮪,9137.0,牛肉,192.0,雞,483.0,包款,552.0,用品,51.0,轉儲,13599.0,美式,92.0,料理,1448.0,平台,4617.0,刀,27.0,真無線,49.0,煙,3660.0,預收,152.0,影印,11989.0,電話線,999.0,雀巢,958.0,折扣,21656.0,光泉,850.0,雞,4212.0,L,43.0,小,12529.0,折扣,2412.0,白金,3121.0,寶亨法,2116.0,睡衣,108.0,飾品,163.0,翡翠,70.0,保鮮盒,31.0,棉被,209.0,整理,55.0,派,3433.0,毫克,49888.0,威士忌,615.0,燒酒,221.0,已,9571.0,甜紅酒,361.0,貨費,9463.0
拿,4063520.0,拿,2443245.0,入,101210.0,入,101210.0,紅茶,1401770.0,奶茶,6766840.0,可口,1233075.0,果汁,1714910.0,促,11142400.0,飲食,671530,富飲料,63565.0,奶茶,829390.0,鹼性,2821265.0,鹼性,705455.0,全脂,3665140.0,光泉,1404910.0,光泉,1445735.0,林鳳營,148790.0,乳,2069635.0,乳,1261110.0,無,1975610.0,豆奶,13195.0,草莓,771435.0,麵,1286815.0,麵,1099575.0,那堤,225030.0,肉包,158150.0,條,30875.0,原味,945855.0,桂冠,657295.0,折扣,5608415.0,炒,387055.0,起司,701565.0,牛肉,987710.0,雞,431485.0,啦,34060.0,加購熱,13440.0,包,3538790.0,1,3995095.0,中華,161035.0,211216,6430360.0,廣,41975.0,履歷,2619530.0,檔,1979705.0,折扣,3258960.0,餐六塊,577220.0,溫促,4126430.0,梅花,388570.0,蝦皮,1041885.0,肉片,1073735.0,原味,3196520.0,萬歲,559615.0,肉,237055.0,211216,179955.0,香絲,500655.0,雞,284260.0,蜀黍,25710.0,梅肉,220070.0,禮兌換,421430.0,糖,1131095.0,可可,1532395.0,味,695040.0,鹽,676340.0,蜂蜜水,327705.0,豆芽,341315.0,湯小,1322505,牛肉,893610.0,拉,255325.0,折扣,5608415.0,三好,188065.0,抽取,2322180.0,衣架,463510.0,入,622900.0,汽油,1628340.0,抗菌,151340.0,鮮食類,197295.0,日式,277670.0,無,14002325.0,靠得住,2973.0,洗,3465.0,沐浴乳,1565.0,香草,4827.0,防曬,1068.0,魚細卷,8935.0,麵,167.0,麥,236.0,配件,552.0,按摩,45.0,找零,13599.0,會員,45.0,韓式,1411.0,費,4617.0,鬍,27.0,藍牙耳機,44.0,寶亨涼,3659.0,30,119.0,黑白,11987.0,黑,849.0,奶粉,958.0,2NV,8332.0,餐點類,748.0,小腿,2629.0,褲,42.0,青,8099.0,付款,2412.0,尊爵,3121.0,藍絲晶球,2116.0,內,103.0,萬巒,103.0,價購,70.0,樂扣,31.0,午茉綠,205.0,收納盒,48.0,雙餡,3432.0,硬盒,42004.0,蘇打,353.0,初飲,214.0,類金額,9571.0,GIANNID3,332.0,60,9463.0
鐵,3498265.0,鐵,2312770.0,鷹牌,63625.0,鷹牌,63625.0,元,1175390.0,綠茶,4626240.0,黑松沙士,845320.0,純,1197115.0,能量,1209425.0,加,307145,特大,63565.0,雞,780080.0,離子,2511700.0,水,662260.0,林鳳營,1325215.0,奶茶,729515.0,牛奶,903280.0,草莓,130270.0,加糖,709175.0,活菌,1170535.0,光泉,1913885.0,936ml,5535.0,優格,711535.0,二配,1188400.0,包,1099100.0,濃抹,168030.0,芝麻,110950.0,A,30865.0,經典,892650.0,黃,424570.0,蝦皮,5601855.0,大利,370400.0,烤,652955.0,餐,646210.0,胸,276805.0,咔,34055.0,烤類,13440.0,土司,2334110.0,外送費,3870805.0,桂冠,143270.0,草莓,4850450.0,皮蛋,38815.0,湯小,2482915.0,價券,1663340.0,蝦幣,1977975.0,啦,272850.0,鮮食促,1854590.0,雞,379680.0,折扣,1041255.0,桂冠,1066060.0,配薯餅,2264520.0,牌,456010.0,鱈魚,217435.0,香波,179955.0,北海,494125.0,k,263625.0,統一雞,8735.0,S,210150.0,泰山,263860.0,草莓,777755.0,波堤,850385.0,鮮食類,680210.0,等,584860.0,毫克,283410.0,有,258910.0,C,647040,來,658015.0,農心,253690.0,蝦皮,5601855.0,一等,157330.0,抽,2100770.0,洗衣袋,285730.0,清潔,588180.0,折抵,1616070.0,膠囊,134730.0,味,196865.0,料理,267425.0,鉛,13996770.0,片,1898.0,精,1341.0,濕巾,1420.0,匈牙利,4820.0,3,731.0,一配,8935.0,阿Q,126.0,團涼,232.0,新鴻運,153.0,成功,42.0,烤肉,405.0,變頻,25.0,鍋具,126.0,無線,150.0,6,20.0,入耳式,23.0,新,1676.0,鮮,118.0,日本,1169.0,入,786.0,號新,958.0,3JX,7235.0,摩斯,615.0,胸,1636.0,透氣,26.0,蔬,8093.0,套餐,2134.0,男,352.0,香菸,2116.0,衣服,23.0,耳絲盒,93.0,點加,70.0,團小夜,16.0,霜淇淋,205.0,特級,46.0,墊,1495.0,七星,41275.0,金車,353.0,水蜜桃,208.0,票券,9571.0,酒,102.0,店取,9463.0
冰,3231650.0,貝納頌,1838930.0,煉奶,60665.0,煉奶,60665.0,仙女,1154745.0,綠,2867180.0,蘋果,624995.0,喫,1060130.0,補給,1183270.0,濃度,307095,飲品,50350.0,卡啦脆,775645.0,海洋,1227025.0,離子,538225.0,瑞穗,1236845.0,福樂,387060.0,蘋果,626650.0,果實,102155.0,無,670640.0,多多,1035020.0,加糖,1910915.0,豆皮,5475.0,茶,645740.0,冰淇淋,870040.0,肉,592655.0,茶,154240.0,鮮,101250.0,送,30865.0,起司,273555.0,肉桂,392855.0,糰,5478905.0,涼,338465.0,雞,557975.0,雞腿堡,543540.0,和,234845.0,中辣,33805.0,起司,5600.0,二配,2277745.0,鮮食類,3709980.0,湯圓,140180.0,那堤,3062920.0,松花,38800.0,有機,2193615.0,蝦皮,1615330.0,鮭魚,287595.0,卡,272840.0,履歷,286375.0,冷藏,298645.0,仁,161330.0,豬,1038875.0,口味,1834975.0,堅果,453970.0,香絲,200045.0,堤,179955.0,600G,172135.0,香麻脆,263625.0,口味,8735.0,乾,159195.0,西雅圖,171935.0,棉花,718360.0,211216,613965.0,滷,654790.0,濃湯,583735.0,義美,227060.0,綠,174270.0,咖哩,271340,一客,621910.0,包,224090.0,糰,5478905.0,玉米,154040.0,式,1327415.0,10,176835.0,噴霧,537465.0,鉛,1616010.0,精,97920.0,滷,192185.0,不,259975.0,113F12095001,8391675.0,熟睡,1891.0,乳,829.0,酒精,1130.0,烤,4819.0,凝乳,628.0,02,305.0,紅椒,126.0,拌,232.0,號,153.0,肌,42.0,不,343.0,公升,12.0,鍋,80.0,多功能,100.0,電動,16.0,Havit,21.0,毫克,1234.0,大林,118.0,袋,1163.0,棒,635.0,金能,958.0,2AZ,2323.0,漢堡,615.0,桃木,1627.0,用,25.0,滷,8093.0,滿福堡,963.0,俊,270.0,美,241.0,背心,6.0,眼鏡,81.0,海水,65.0,燈,16.0,90g,154.0,沉香,46.0,耶加雪菲,520.0,香煙,34082.0,蘭,154.0,至極梅,36.0,開發,9571.0,高粱,85.0,店到,9463.0
咖啡,2607720.0,經典,1307765.0,即,50020.0,即,50020.0,2,987765.0,烏龍,2474080.0,汽水,601220.0,波蜜,1029060.0,紅牛,559730.0,一份,307090,160ml,2875.0,k,775645.0,台鹽,1100975.0,氣,444630.0,義美,1102010.0,飲,380835.0,巧克力,536900.0,大粒,101630.0,AB,460320.0,統一,926035.0,豆奶,1344305.0,全豆,4905.0,綜合,514635.0,牛奶,811715.0,鬆,592620.0,冰醇,145755.0,包,86775.0,BOGO,30865.0,濃夾心,235370.0,豆皮,282740.0,蝦幣,3856815.0,烤,275860.0,蛋,506545.0,BLT,501840.0,風醬,221475.0,雞腿堡,33300.0,雷蒙德,4480.0,一配,1605605.0,味,3693925.0,豆花,139495.0,大,2259545.0,入,27815.0,有,1397820.0,折扣,1615200.0,特選,186505.0,雞腿堡,272705.0,冷凍,201870.0,肉片,290000.0,海鮮,125265.0,梅花,598410.0,玉米,1660555.0,杏仁,366480.0,北海,182530.0,沙茶,96035.0,海苔,110515.0,花椒,263625.0,豆奶,8735.0,果物,139355.0,咖啡,96240.0,薄荷,673260.0,五促,601750.0,小菜,648295.0,油品,575480.0,紅茶,226200.0,黃,162745.0,泡菜,263850,維力,353160.0,牛肉,200170.0,蝦幣,3856815.0,糙米,148780.0,1,1299685.0,錠,158720.0,回饋,530210.0,額,1616005.0,日本,95000.0,小菜,189285.0,鋼,220250.0,113F12092005,2900365.0,舒涼,1643.0,霜,763.0,潔膚,1022.0,翅,4819.0,優酪,595.0,聰明,305.0,桶,126.0,藜,232.0,LUCKY7,153.0,台灣豬,42.0,鋼,342.0,610,12.0,R2,64.0,充電,100.0,系列,11.0,環繞,21.0,七星,938.0,0905,118.0,夾鏈,1161.0,棉花,620.0,恩,958.0,3JY,1646.0,香菸,578.0,燻,1627.0,三角,25.0,一配,4418.0,無敵,963.0,隈,270.0,康是,241.0,兒童,5.0,白菜,57.0,石斑,65.0,手機,16.0,噴霧,154.0,烏,46.0,單品,520.0,天藍,17383.0,格,154.0,酒,36.0,生啤酒,3213.0,酒香,85.0,球拍,1570.0
大熱,2384985.0,黑,572500.0,溶,46630.0,溶,46630.0,奶茶,950205.0,件,2352580.0,可樂中,548085.0,綜合,678530.0,飲,497130.0,飲料,183505,飲料,1060.0,可可,463905.0,純水,995800.0,飲,398200.0,光泉,1028955.0,麥香,364105.0,他,435525.0,特濃重,68980.0,原味,459920.0,原味,808970.0,高纖豆,1073925.0,毛豆,2945.0,巧克力,508225.0,一配,685630.0,一配,374860.0,冰風味,65065.0,鹿港,53925.0,包,22770.0,美式,204250.0,金魚,264295.0,一配,2369550.0,雞,268575.0,火腿,400405.0,蛋堡,379730.0,地瓜,213000.0,XL,31950.0,夾心,4480.0,夾心,1406280.0,滷,3641150.0,愛玉,115930.0,蜜糖,2188020.0,蛋白,24220.0,產銷,907275.0,現金折,1523575.0,V,178445.0,k,272670.0,有機,181880.0,腿,282560.0,包,116450.0,雞塊,534005.0,捲,1616925.0,盛香珍,296990.0,原味,107295.0,德昌,87205.0,魷魚,108270.0,青,263625.0,250ml,8735.0,葡萄乾,137185.0,愛之味,95050.0,茶葉,534615.0,康康,601750.0,外送費,635745.0,加值,575240.0,蜜糖,222340.0,家樂福,115105.0,鮪,263190,包,345880.0,辛拉,192870.0,一配,2369550.0,香米,129205.0,張,1297320.0,R,154330.0,香氛,513260.0,洗衣,1203860.0,漂白,90700.0,外送費,187515.0,5,157850.0,95,1397275.0,茶樹,1643.0,護,680.0,Biore,1012.0,老虎,2239.0,補水,592.0,魚肉,305.0,101g,126.0,毛豆,232.0,香菸,153.0,憎帽,42.0,鏽,340.0,國際牌,12.0,充電體,64.0,LaPOWT01AW10000mAh,100.0,德國百靈,10.0,低音,21.0,牛肉,857.0,飛利浦,49.0,冰塊,1135.0,支,620.0,800g,958.0,2RY,950.0,雲摩爾,578.0,襪,862.0,男,25.0,夢,4418.0,MegaSausageMcMu,963.0,釀朝,270.0,寶,220.0,竹紗,4.0,油,48.0,嚴選黃金,45.0,支架,16.0,防曬,154.0,KEYWAY,39.0,雙人,519.0,香菸,16822.0,百,154.0,CHOYA,33.0,金牌,3177.0,腸,85.0,達晶,1570.0
中,1485685.0,曼特寧,534925.0,雀巢,46580.0,雀巢,46580.0,冰,900140.0,喫,2300805.0,小,384590.0,蔬果,676910.0,牛維,454025.0,共有,152615,罐裝,475.0,穀,367085.0,泰山,509585.0,氣泡,362660.0,低脂,513225.0,他,303035.0,富維,435525.0,蜂蜜,68795.0,草莓,440950.0,比菲多,781915.0,燕麥,942575.0,黎麥,2850.0,抹,431615.0,雪糕,626025.0,好,335955.0,冰樂,29350.0,包子,53265.0,金家,22710.0,大熱狗,141055.0,翅,242715.0,二配,1329860.0,焗,257030.0,鮪,294170.0,起司,355465.0,洋芋,192640.0,風味,30890.0,熱壓,3405.0,吐司,1154650.0,小菜,3626275.0,中華甜,114650.0,巧克力,2151990.0,蛋,18760.0,蔔,798605.0,雞,1471215.0,那堤,174420.0,豆腐,271555.0,包,137640.0,澳牛,281630.0,KS,108565.0,麥克雞塊,509140.0,包,1616530.0,綜合,252225.0,餐豬,106775.0,乾,76715.0,原味,86270.0,烤,130200.0,蛋,8735.0,梅子,106310.0,拿,86445.0,倉,534550.0,黑,574790.0,日用,557080.0,504CT0000000,553440.0,波堤,220505.0,香菇,54870.0,韓式,240335,科學,292150.0,碗,165450.0,二配,1329860.0,穀,109905.0,印花,1240290.0,衣錠,146850.0,金,508890.0,903019500195,927935.0,超濃縮,83330.0,保健食品,151035.0,用品,157265.0,代收,726730.0,衛生,1466.0,潘婷,542.0,胺基酸,997.0,牙子,2239.0,乳原,559.0,套餐,305.0,胛,78.0,100g,195.0,花雕,39.0,瑜珈,39.0,入,190.0,Panasonic,12.0,重機,64.0,Panasonic,86.0,BRAUN,10.0,威特,21.0,套餐,857.0,0824,33.0,九州,1135.0,雙頭,619.0,1,586.0,2I6,211.0,毫,574.0,黑,512.0,峰,18.0,啦,4418.0,加蛋,963.0,無大吟,270.0,珠,219.0,居家,2.0,1028,46.0,比例,45.0,手,16.0,高效,154.0,白,33.0,超值,393.0,雲絲頓,14684.0,齡,154.0,風味,32.0,台灣,2777.0,黑橋牌,83.0,佳士,1570.0
大冰,1473430.0,廣場,435385.0,掛式,42910.0,掛式,42910.0,茶,740095.0,純,2247030.0,百事,356120.0,鮮榨,641485.0,寶礦力,361200.0,飲,131030,崇德,405.0,濃湯,321390.0,悅氏,324330.0,強氣,257430.0,乳香,501410.0,富維,303035.0,麥芽,413020.0,乳,67690.0,光泉,437365.0,活益,618140.0,鮮豆漿,930255.0,組,1000.0,春日,431100.0,可可,519395.0,棒棒,335760.0,風味星,15540.0,捲,41165.0,紫薯,22710.0,捲,134275.0,豆腐,229790.0,咖哩,1206335.0,燻,255785.0,醬燒,292465.0,火腿蛋,273635.0,火腿,187965.0,韓式,28475.0,美式,1840.0,起司,1045995.0,蛋糕,2392545.0,仙草,102475.0,布丁,2101155.0,鹹,18755.0,青江,783955.0,雞塊,1408485.0,糰,162205.0,蛋,216720.0,青花菜,123780.0,肌火鍋,251505.0,生蝦,103615.0,五花,496625.0,雞,1584765.0,瓜子,245940.0,鬆,97630.0,滷,54775.0,珍珍,51755.0,鹽,104195.0,貝比,4110.0,草莓,104480.0,鐵,82900.0,蛋入,534420.0,牛奶,569265.0,百貨類,557080.0,料理,539555.0,211216,220475.0,機厚肉,53285.0,愛之味,215930,拉,278205.0,涼,144240.0,咖哩,1206335.0,湯大,109065.0,雙人牌,1234670.0,曬,146475.0,衣物,469660.0,費,557270.0,球,82630.0,日用,149800.0,點心,138770.0,113F12098008,583815.0,蕾,1275.0,精華,495.0,沐浴,975.0,有,2239.0,統一,557.0,魚餐,107.0,心肉,78.0,嫩,194.0,台酒,39.0,墊,38.0,冷藏,166.0,大熱,10.0,瓦城,56.0,洗車,76.0,新,10.0,海,21.0,堡,857.0,抗漲,33.0,自動,807.0,無線,581.0,HA1,578.0,3A2,162.0,臺,451.0,船襪,212.0,舒涼,18.0,哆,4418.0,豬肉,963.0,休閒,248.0,飾品,219.0,丈青,2.0,結球,45.0,黃,42.0,hoi,11.0,可皙,154.0,瑪莉,33.0,棉花,387.0,藍,9272.0,罈,154.0,樂龍舌蘭,31.0,沙瓦,2522.0,紅酒,80.0,禮盒,1215.0
V,1370180.0,冰,412155.0,三合一,42690.0,三合一,42690.0,青茶,594720.0,元,2061615.0,氣泡,351670.0,紅,609715.0,水得,351605.0,黑木耳,94820,發黑,365.0,桂格,303935.0,PH90,274400.0,檸檬氣,257225.0,福樂,440040.0,保久乳,263350.0,瑞穗,368750.0,烤,57440.0,自然,416950.0,萊爾富,544840.0,奶,839160.0,入,845.0,杯裝,410380.0,茶,402710.0,草莓,292765.0,香草,15020.0,香辣,38575.0,元,3025.0,乳酪,132155.0,勁辣,214935.0,套餐,104935.0,火腿,251180.0,堡,171055.0,雙層,260840.0,彩蔬,166620.0,牛肉,25700.0,土司,1775.0,奶酥,1027730.0,送,2011680.0,嫩,90590.0,優格,2097770.0,熟,18740.0,分享,727825.0,梅花,411970.0,輪切,140995.0,泡菜,74370.0,產銷,120625.0,豬里,248410.0,鮭魚,94700.0,豬肉,462545.0,巧克力,1488455.0,小魚,237960.0,乾,94750.0,香脆,54695.0,包,50620.0,韓味,78255.0,綜合,4110.0,一生,92880.0,桂格,79210.0,糖波堤,484340.0,健達,495815.0,禮盒,320115.0,醬油,465330.0,醬,183845.0,機杏,52265.0,辣椒,215660,雞汁,262535.0,不倒翁,125200.0,套餐,104935.0,池上,78865.0,舒潔,1062440.0,膜,143160.0,機,450605.0,物流,557210.0,ARIEL,77650.0,嬰兒,71915.0,樂扣,117365.0,手續費,557385.0,妮,1274.0,美吾,474.0,沐浴露,922.0,牙膏,2224.0,AB,557.0,罐,107.0,玉子,53.0,義式,194.0,用品,36.0,滾珠,24.0,大武山,164.0,大冰,10.0,多功能,54.0,國際牌,60.0,新版,7.0,impact,7.0,安格斯,857.0,桂格,33.0,樂扣,124.0,22888,492.0,隨身,35.0,楓康,144.0,NIKE,101.0,加大,186.0,平口,15.0,童襪,89.0,爵,797.0,戶外,224.0,DECORATIVE,18.0,袍,2.0,包裝,45.0,幣,23.0,置物盤,11.0,曬,154.0,迷你,33.0,螺旋,387.0,登喜路,7063.0,紅,154.0,德斯,31.0,啤酒,2103.0,酒店,79.0,原味,1188.0
奶茶,1335995.0,濃,349610.0,拿,41520.0,拿,41520.0,新冰,584195.0,5,1837810.0,加鹽,329795.0,汁,484295.0,他命,339585.0,餐飲,92500,麥汁,300.0,立頓,300280.0,統一,271965.0,小,211065.0,牛乳,429180.0,飲料,261355.0,福樂,293315.0,瓣,49710.0,機能,250000.0,即,544840.0,麥,816300.0,豆花,780.0,牛奶,351825.0,巧克力,349640.0,果粒,165175.0,茶星,13810.0,美式,29800.0,區現,2850.0,熱狗堡,128205.0,香菇,176555.0,泡菜,96025.0,蒜,165045.0,黑松,154685.0,培根,255990.0,黑胡椒,161435.0,料理,22815.0,培根,1440.0,菠蘿,939130.0,巧克力,1273160.0,花生豆,73180.0,統一,967690.0,雞,16105.0,菇,693730.0,冷藏,268215.0,鮪,127030.0,慶尚,63210.0,地瓜,118705.0,香腸,179315.0,虱目,91240.0,六塊,353260.0,起司,1426045.0,腰果,156335.0,起司,88320.0,豆乾,53825.0,鬆,48460.0,元,72035.0,花椒,3365.0,統,91710.0,代銷,70435.0,221129,483480.0,可樂中,403760.0,海苔,190525.0,咖哩,355705.0,小可,161195.0,鮑菇,40830.0,麵,212435,韓式,255755.0,風味,121020.0,泡菜,96025.0,米酒,77015.0,包,806125.0,普拿疼,142155.0,打火,450320.0,抗菌,550430.0,豆,74340.0,棉被,36875.0,鏽,94520.0,92,337920.0,超,1167.0,修護,471.0,100g,861.0,牙刷,1120.0,25ml,553.0,咪咪,107.0,燒雞肉,53.0,胸,194.0,日本,17.0,勁涼,23.0,網,105.0,日立,9.0,泡菜,45.0,空氣,59.0,電,7.0,機器,7.0,彩色,817.0,13W,29.0,眼鏡,107.0,親節,492.0,碟,34.0,入,144.0,耐吉休,65.0,船形,168.0,衣粉,11.0,女童,72.0,古拉,797.0,牛仔,169.0,眼鏡,18.0,長,2.0,超控,45.0,街口,23.0,滴水,11.0,高絲,154.0,收納箱,31.0,床,340.0,倫敦,7063.0,璽,154.0,伏特加,29.0,微醉,1880.0,調晶華,79.0,肯德基,1009.0
