name,num
電話線,999
黑,849
入,786
棒,635
棉花,620
支,620
雙頭,619
無線,581
22888,492
親節,492
中華電父,492
小,489
電話,473
皮筋,367
5,285
黑大,267
2,228
有線,207
耳,148
風扇,125
藍芽,124
飛利浦,124
數位,91
話,86
機觸,81
適用,81
安卓,81
雙耳通,81
電顯示,74
Philips,74
代銷,60
卡,60
電話機,55
真無線,54
震動電,54
音波,54
買,54
獨家霧,54
粉刷,54
momo,54
Panasonic,51
頸,48
掛式,48
國際牌,46
DECT,43
顯示,40
雙用,39
DIKE,39
來電,39
髮,38
圈小麥,38
購物,38
糖果,38
超大,37
示型,36
KTPWDP01,36
歌林來,36
電顯,36
Kolin,36
藍牙耳機,31
台灣,28
出貨,28
腰掛,28
鈴聲,27
24GHz,23
設計,22
MotorolaS1201DECT,20
耳機,10
降噪,7
TWS,7
藍,6
SpinFitCP1025,5
